,comb,mol1,mol2,confidence
24222,comb1432_,ZINC000000896527,ZINC000001693568,0.8679878301992724
18000,comb18001,ZINC000002558831,ZINC000000967534,0.8678871361152712
45122,comb22332_,ZINC000001845807,ZINC000001615334,0.8678789812084975
39654,comb16864_,ZINC000000388498,ZINC000002510896,0.8678546814976602
4986,comb4987,ZINC000064624959,ZINC000000896527,0.8677116529802938
5365,comb5366,ZINC000070667144,ZINC000000968282,0.8677054225697172
30318,comb7528_,ZINC000000896527,ZINC000000275176,0.8675820636902407
28150,comb5360_,ZINC000000388506,ZINC000070667144,0.8673407667062534
14878,comb14879,ZINC000001693315,ZINC000000967534,0.8673296375470683
42354,comb19564_,ZINC000000900729,ZINC000070666008,0.8672890207388717
39325,comb16535_,ZINC000000388506,ZINC000002168369,0.8672765685972496
17572,comb17573,ZINC000002558795,ZINC000000900729,0.8671823042629241
10817,comb10818,ZINC000001570231,ZINC000000896527,0.8670449761069646
9711,comb9712,ZINC000001530975,ZINC000000896527,0.8670101426677705
6251,comb6252,ZINC000100074293,ZINC000000897131,0.86699711887625
20490,comb20491,ZINC000000897131,ZINC000002167088,0.8669680261706243
22503,comb22504,ZINC000001845807,ZINC000001654295,0.8667778051600545
4810,comb4811,ZINC000064624958,ZINC000001699878,0.866665376061301
21169,comb21170,ZINC000001687816,ZINC000001699878,0.8665422480875946
26642,comb3852_,ZINC000001845807,ZINC000064622643,0.8664659486673862
19684,comb19685,ZINC000070667148,ZINC000001699878,0.8664335470098201
10003,comb10004,ZINC000001562132,ZINC000000900729,0.8663787699766747
21970,comb21971,ZINC000000388498,ZINC000006920393,0.8663780006397499
11874,comb11875,ZINC000001590020,ZINC000000896527,0.8662845149690405
598,comb599,ZINC000001570230,ZINC000000967534,0.8662263623390795
4611,comb4612,ZINC000064624956,ZINC000000968282,0.8659461165559676
16618,comb16619,ZINC000002168416,ZINC000000900729,0.865836719084053
44165,comb21375_,ZINC000000896527,ZINC000002507978,0.8658201968429704
22001,comb22002,ZINC000000388506,ZINC000001668172,0.8657400035079587
20348,comb20349,ZINC000000388499,ZINC000001674476,0.8656461069119737
2465,comb2466,ZINC000002143278,ZINC000001845807,0.8656403457901087
16649,comb16650,ZINC000002168416,ZINC000000967759,0.8656306258765997
21478,comb21479,ZINC000002558793,ZINC000000967534,0.8654377619446281
17605,comb17606,ZINC000002558795,ZINC000000968282,0.8654242183133378
21885,comb21886,ZINC000000164418,ZINC000001580750,0.8652994660145064
22269,comb22270,ZINC000001562134,ZINC000001699878,0.8652750956711502
18566,comb18567,ZINC000003876020,ZINC000000896527,0.8652548258685773
34488,comb11698_,ZINC000000900729,ZINC000001589655,0.8651863387703842
17603,comb17604,ZINC000002558795,ZINC000000967759,0.8651267288437614
21808,comb21809,ZINC000169747359,ZINC000000967759,0.8650972072072414
36512,comb13722_,ZINC000001845807,ZINC000001665359,0.8650945722520519
42271,comb19481_,ZINC000000388499,ZINC000064858311,0.8650785532998896
40997,comb18207_,ZINC000001845807,ZINC000003876016,0.8650406415727916
18192,comb18193,ZINC000003876016,ZINC000000896527,0.8649816481683646
19445,comb19446,ZINC000064622647,ZINC000001845807,0.8649493573326877
29248,comb6458_,ZINC000000164418,ZINC000100074301,0.8649432154809873
42300,comb19510_,ZINC000000388498,ZINC000064858311,0.8649384714121122
39550,comb16760_,ZINC000000967759,ZINC000002242728,0.8648773507402742
21943,comb21944,ZINC000000388498,ZINC000001674476,0.8648228169145602
32821,comb10031_,ZINC000000388506,ZINC000001562132,0.8648075317944088
10034,comb10035,ZINC000001562132,ZINC000000967759,0.8647946955783834
