,comb,mol1,mol2,confidence
13198,comb13199,ZINC000001601915,ZINC000085548520,0.448065367126679
13059,comb13060,ZINC000001601911,ZINC000085548520,0.448065367126679
18229,comb18230,ZINC000003876016,ZINC000085548520,0.448065367126679
20898,comb20899,ZINC000001570220,ZINC000085548520,0.448065367126679
17329,comb17330,ZINC000002539285,ZINC000085548520,0.448065367126679
17118,comb17119,ZINC000002530746,ZINC000085548520,0.448065367126679
21463,comb21464,ZINC000002530978,ZINC000085548520,0.448065367126679
21514,comb21515,ZINC000002558793,ZINC000085548520,0.4476523180802474
17938,comb17939,ZINC000002558815,ZINC000085548520,0.4474428336903889
2889,comb2890,ZINC000002558792,ZINC000085548520,0.4460205653997923
14914,comb14915,ZINC000001693315,ZINC000085548520,0.4460205653997923
13473,comb13474,ZINC000001661474,ZINC000085548520,0.4460205653997923
2286,comb2287,ZINC000002040927,ZINC000085548520,0.4460205653997923
9586,comb9587,ZINC000001530818,ZINC000085548520,0.4460205653997923
8593,comb8594,ZINC000000967827,ZINC000085548520,0.4443185469134386
16461,comb16462,ZINC000002143276,ZINC000085548520,0.4443185469134386
12919,comb12920,ZINC000001601910,ZINC000085548520,0.4443185469134386
18418,comb18419,ZINC000003876018,ZINC000085548520,0.4443185469134386
21564,comb21565,ZINC000002580648,ZINC000085548520,0.4443185469134386
17224,comb17225,ZINC000002530747,ZINC000085548520,0.4443185469134386
16348,comb16349,ZINC000002077483,ZINC000085548520,0.4443185469134386
10543,comb10544,ZINC000001570221,ZINC000085548520,0.4443185469134386
13336,comb13337,ZINC000001632866,ZINC000085548520,0.4443185469134386
10386,comb10387,ZINC000001570219,ZINC000085548520,0.4443185469134386
13609,comb13610,ZINC000001661476,ZINC000085548520,0.4443185469134386
42988,comb20198_,ZINC000000967534,ZINC000000262398,0.4414483853951434
29404,comb6614_,ZINC000000900729,ZINC000197382366,0.4393888163645353
5547,comb5548,ZINC000087515584,ZINC000000896527,0.4360722937337833
15253,comb15254,ZINC000001706229,ZINC000000968282,0.43519254677258773
4990,comb4991,ZINC000064624959,ZINC000000968282,0.43100646535024206
4035,comb4036,ZINC000064624846,ZINC000000968282,0.42992635041039157
6103,comb6104,ZINC000100074278,ZINC000000968282,0.42891343977915886
6637,comb6638,ZINC000197382366,ZINC000000164418,0.42671892370827896
42466,comb19676_,ZINC000000968282,ZINC000070667148,0.42624362481716316
